num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
1,4.0,0.0,4,4,186,217,3905,155,8228,224,Unsat
1,2.0,0.0,2,2,186,217,3103,2201618,2208870,221,Unsat
2,1.0,0.0,1,1,274,38,6212,261,15884,42,Unsat
1,3.0,0.0,3,3,376,497,14872,304,25100,511,Unsat
1,2.0,0.0,2,2,376,497,5887,167,14062,512,Unsat
1,3.0,0.0,3,3,265,57,3543,154,7560,60,Unsat
1,2.0,0.0,2,2,265,57,3139,123,7076,59,Unsat
2,4.0,0.0,4,4,265,57,3436,130,7449,59,Unsat
6,2.8333333,0.13888888,3,2,268,38,5236,146,9311,42,Unsat
2,2.5,0.25,3,2,268,38,3447,119,7382,46,Unsat
1,2.0,0.0,2,2,206,436,5807,142,9912,440,Unsat
1,2.0,0.0,2,2,206,436,0,109,655,438,Sat
1,2.0,0.0,2,2,153,39,3164,122,7144,41,Unsat
1,2.0,0.0,2,2,153,39,0,94,635,41,Sat
1,2.0,0.0,2,2,123,12,2490,136,6324,13,Unsat
1,3.0,0.0,3,3,123,12,2651,128,6440,13,Unsat
5,2.4,0.64,3,1,261,67,6636,168,10911,71,Unsat
1,3.0,0.0,3,3,261,67,6679,116,10957,72,Sat
1,2.0,0.0,2,2,261,67,5618,124,9778,69,Sat
10,2.9,0.09000001,3,2,1344,88,19282,164,24367,97,Sat
25,2.92,0.0736,3,2,1344,88,6046,196,11239,108,Sat
2,3.0,0.0,3,3,1344,88,4646,113,9142,111,Sat
1,3.0,0.0,3,3,1344,88,5027,151,9452,92,Sat
1,3.0,0.0,3,3,1344,88,3989,153,8385,90,Sat
1,2.0,0.0,2,2,1344,88,3819,131,8149,90,Sat
1,1.0,0.0,1,1,222,14,2440,117,6191,15,Unsat
1,2.0,0.0,2,2,218,108,3701,120,7727,112,Unsat
5,1.8,0.16,2,1,300,104,4166,146,8618,111,Sat
4,2.5,0.25,3,2,300,104,7257,124,11604,107,Sat
3,2.6666667,0.22222221,3,2,300,104,6889,118,11222,110,Sat
1,2.0,0.0,2,2,300,104,0,96,642,108,Sat
1,2.0,0.0,2,2,300,104,0,90,616,105,Sat
6,2.6666667,0.22222221,3,2,300,104,3478,2618043,2625877,107,Sat
1,2.0,0.0,2,2,300,104,0,139,785,121,Sat
2,2.5,0.25,3,2,270,94,3082,2101630,2108866,103,Unsat
1,2.0,0.0,2,2,270,94,3206,148,7745,105,Sat
1,2.0,0.0,2,2,172,75,2492,119,6348,80,Unsat
1,3.0,0.0,3,3,210,178,9317,133,13424,187,Unsat
2,2.5,0.25,3,2,210,178,9060,140,13158,183,Unsat
4,1.75,0.1875,2,1,251,102,3478,127,7651,108,Sat
2,3.0,0.0,3,3,251,102,3318,116,7400,105,Sat
1,2.0,0.0,2,2,251,102,3714,164,7840,105,Sat
1,2.0,0.0,2,2,251,102,3243,171,7442,104,Sat
1,2.0,0.0,2,2,228,130,0,99,641,133,Sat
1,2.0,0.0,2,2,228,130,6007,105,10070,132,Unsat
1,3.0,0.0,3,3,132,11,2603,105,6437,13,Unsat
1,2.0,0.0,2,2,132,11,2456,119,6193,13,Unsat
2,2.5,0.25,3,2,218,87,3063,105,7146,93,Sat
2,2.0,0.0,2,2,218,87,2868,120,6800,90,Unsat
2,2.0,1.0,3,1,685,185,3615,119,7995,191,Sat
1,2.0,0.0,2,2,685,185,3035,110,7280,189,Sat
1,2.0,0.0,2,2,685,185,6674,124,10993,188,Sat
1,3.0,0.0,3,3,685,185,3578,148,7896,188,Sat
1,3.0,0.0,3,3,685,185,3644,154,7964,189,Sat
2,2.0,0.0,2,2,745,831,10694,154,15051,847,Unsat
2,3.0,0.0,3,3,745,831,13559,156,17911,835,Unsat
