original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
21,3,4,0,5,14,5,2,1,0,1,2,16
21,3,4,0,5,14,8,3,3,0,1,2,10
25,3,4,0,6,18,8,3,3,0,1,2,11
18,5,4,3,2,6,8,2,1,2,1,3,15
22,5,4,3,3,10,8,2,1,2,1,3,15
19,5,4,3,2,7,8,2,1,2,1,3,16
22,5,4,3,3,10,8,2,1,2,1,3,18
18,3,4,0,4,11,5,2,1,0,1,2,13
27,3,4,0,6,20,5,2,1,0,1,2,16
22,3,4,0,5,15,8,3,3,0,1,2,10
16,4,5,5,1,2,9,3,1,3,1,2,5
21,3,4,0,5,14,5,2,1,0,1,2,16
22,5,4,3,3,10,8,2,1,2,1,3,15
18,3,4,0,4,11,5,2,1,0,1,2,16
22,3,4,0,5,15,8,3,3,0,1,2,11
22,5,4,3,3,10,8,2,1,2,1,3,14
17,3,4,0,4,10,8,3,3,0,1,2,11
19,5,4,3,2,7,8,2,1,2,1,3,17
7,3,1,1,2,2,7,3,1,1,2,2,0
23,4,5,5,3,9,10,3,1,3,1,3,17
23,4,5,5,3,9,10,3,1,3,1,3,18
17,4,5,5,1,3,10,3,1,3,1,3,13
17,4,5,5,1,3,10,3,1,3,1,3,13
10,3,1,1,3,5,10,3,1,1,3,5,0
17,4,5,5,1,3,10,3,1,3,1,3,11
23,4,5,5,3,9,10,3,1,3,1,3,20
20,4,5,5,2,6,10,3,1,3,1,3,19
20,4,5,5,2,6,10,3,1,3,1,3,19
20,4,5,5,2,6,20,4,5,5,2,6,1
24,7,8,5,2,4,9,3,1,3,1,2,16
23,7,8,5,1,3,12,4,1,4,1,3,14
32,7,8,5,3,12,10,3,1,3,1,3,23
22,7,8,5,1,2,11,4,1,4,1,2,14
22,7,8,5,1,2,9,3,1,3,1,2,16
23,7,8,5,1,3,11,4,1,4,1,2,14
24,7,8,5,1,4,10,3,1,3,1,3,20
28,7,8,5,2,8,10,3,1,3,1,3,23
22,7,8,5,1,2,11,4,1,4,1,2,15
70,8,10,11,12,41,15,4,2,7,1,2,96
69,8,10,11,12,40,15,4,2,7,1,2,79
75,8,10,11,13,46,15,4,2,7,1,2,56
75,8,10,11,13,46,15,4,2,7,1,2,102
72,8,10,11,12,43,15,4,2,7,1,2,37
