num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
1,3.0,0.0,3,3,64,75,104,139,245,true
9,4.0,0.0,4,4,61,154,124,215,341,true
1,2.0,0.0,2,2,155,101,176,256,433,false
3,3.3333333,0.88888884,4,2,13,44,89,57,148,false
5,4.0,0.0,4,4,363,693,230,1056,1288,false
1,2.0,0.0,2,2,20,74,675,94,772,true
1,2.0,0.0,2,2,81,17,93,98,193,false
1,4.0,0.0,4,4,471,191,328,662,992,false
1,2.0,0.0,2,2,49,46,85,95,181,true
1,2.0,0.0,2,2,33,25,77,58,137,true
2,1.5,0.25,2,1,169,53,90,222,314,true
5,3.6,0.64,4,2,11,34,77,45,125,true
1,1.0,0.0,1,1,493,134,127,627,756,true
1,1.0,0.0,1,1,51,11,159,62,222,false
4,2.0,0.0,2,2,28,16,91,44,137,true
3,3.3333333,0.88888884,4,2,102,39,102,141,245,false
5,3.8,0.16,4,3,132,1868,297,2000,2299,true
12,3.25,0.8541667,4,1,137,2685,281,2822,3105,false
1,4.0,0.0,4,4,95,18,3928878,113,3928994,false
67,3.9104478,0.14123414,4,2,123,797,487,920,1411,true
1,2.0,0.0,2,2,688,166,149,854,1006,false
2,1.5,0.25,2,1,70,39,71,109,182,true
1,2.0,0.0,2,2,6,7,269,13,284,false
1,2.0,0.0,2,2,109,35,97,144,243,false
1,1.0,0.0,1,1,16,23,63,39,104,true
2,3.5,0.25,4,3,16,18,59,34,94,true
1,2.0,0.0,2,2,72,31,62,103,167,true
1,1.0,0.0,1,1,92,13,260,105,366,false
1,1.0,0.0,1,1,33,7,63,40,105,false
1,2.0,0.0,2,2,25,21,66,46,113,false
1,1.0,0.0,1,1,61,27,169,88,263,true
1,2.0,0.0,2,2,29,19,107,48,156,false
1,4.0,0.0,4,4,8,25,122,33,157,true
1,2.0,0.0,2,2,66,29,241,95,338,true
1,1.0,0.0,1,1,310,33,86,343,431,true
1,2.0,0.0,2,2,11082,92773,35601,103855,139458,false
1,2.0,0.0,2,2,13390,93,205,13483,13694,false
2,1.0,0.0,1,1,64,42,273,106,383,false
2,2.0,0.0,2,2,70,46,98,116,215,false
3,3.3333333,0.88888884,4,2,933,339,163,1272,1437,false
1,2.0,0.0,2,2,8,37,86,45,133,true
1,2.0,0.0,2,2,114,23,83,137,222,false
2,3.0,1.0,4,2,142,352,150,494,645,false
1,2.0,0.0,2,2,7,22,155,29,186,false
1,2.0,0.0,2,2,26,44,71,70,143,true
1,4.0,0.0,4,4,32,55,83,87,172,false
1,2.0,0.0,2,2,280,96,104,376,482,false
1,1.0,0.0,1,1,16,30,69,46,117,true
1,2.0,0.0,2,2,127,72,100,199,301,false
1,2.0,0.0,2,2,18,12,85,30,117,false
1,4.0,0.0,4,4,195,117,106,312,420,true
1,1.0,0.0,1,1,182,22,161,204,368,false
1,4.0,0.0,4,4,6,28,78,34,115,true
1,2.0,0.0,2,2,136,109,98,245,345,false
1,2.0,0.0,2,2,179,142,91,321,414,true
2,3.5,0.25,4,3,10,17,92,27,120,true
2,2.5,0.25,3,2,22,23,105,45,151,false
2,2.0,1.0,3,1,65,15,139035749,80,139035831,false
1,2.0,0.0,2,2,1154,298,642,1452,2099,false
11,3.4545455,0.42975208,4,2,52,154,190,206,399,false
41,3.7560976,0.42831644,4,1,125,855,16599641,980,16600624,true
1,2.0,0.0,2,2,181,57,111,238,353,false
1,2.0,0.0,2,2,7,8,421,15,438,false
7,3.2857144,0.7755102,4,2,17,44,72,61,135,true
1,1.0,0.0,1,1,1048,240,101,1288,1390,false
1,2.0,0.0,2,2,58,55,98,113,213,true
3,2.0,0.6666667,3,1,102,155,79,257,337,true
1,2.0,0.0,2,2,50,27,66,77,144,true
3,4.0,0.0,4,4,29,51,84,80,165,true
3,3.0,0.0,3,3,88,177,79,265,346,true
1,2.0,0.0,2,2,127,127,88,254,344,false
1,2.0,0.0,2,2,63,25,70,88,159,false
1,1.0,0.0,1,1,170,27,72,197,270,false
1,2.0,0.0,2,2,7,9,57,16,75,true
1,2.0,0.0,2,2,134,68,76,202,279,false
1,4.0,0.0,4,4,19,48,71,67,140,true
2,4.0,0.0,4,4,31,119,75,150,227,true
